image1,image2,upper_left_lon,upper_left_lat,upper_right_lon,upper_right_lat,bottom_right_lon,bottom_right_lat,bottom_left_lon,bottom_left_lat,center_lon,center_lat
data/L15-1509E-1187N_after_1_0.png,data/L15-1509E-1187N_before_1_0.png,85.34179583333334,27.68352777777778,85.42968611111111,27.68352777777778,85.42968611111111,27.605643055555554,85.34179583333334,27.605643055555554,85.38574097222222,27.64458541666667
data/L15-1509E-1187N_after_0_1.png,data/L15-1509E-1187N_before_0_1.png,85.25390555555556,27.605643055555554,85.34179583333334,27.605643055555554,85.34179583333334,27.52775833333333,85.25390555555556,27.52775833333333,85.29785069444445,27.566700694444442
data/L15-1509E-1187N_after_0_0.png,data/L15-1509E-1187N_before_0_0.png,85.25390555555556,27.68352777777778,85.34179583333334,27.68352777777778,85.34179583333334,27.605643055555554,85.25390555555556,27.605643055555554,85.29785069444445,27.64458541666667
data/L15-1509E-1187N_after_0_2.png,data/L15-1509E-1187N_before_0_2.png,85.25390555555556,27.52775833333333,85.34179583333334,27.52775833333333,85.34179583333334,27.44987361111111,85.25390555555556,27.44987361111111,85.29785069444445,27.48881597222222
data/L15-1509E-1187N_after_1_1.png,data/L15-1509E-1187N_before_1_1.png,85.34179583333334,27.605643055555554,85.42968611111111,27.605643055555554,85.42968611111111,27.52775833333333,85.34179583333334,27.52775833333333,85.38574097222222,27.566700694444442
data/L15-1509E-1187N_after_1_2.png,data/L15-1509E-1187N_before_1_2.png,85.34179583333334,27.52775833333333,85.42968611111111,27.52775833333333,85.42968611111111,27.44987361111111,85.34179583333334,27.44987361111111,85.38574097222222,27.48881597222222
data/L15-1509E-1187N_after_2_0.png,data/L15-1509E-1187N_before_2_0.png,85.42968611111111,27.68352777777778,85.51757638888888,27.68352777777778,85.51757638888888,27.605643055555554,85.42968611111111,27.605643055555554,85.47363125,27.64458541666667
data/L15-1509E-1187N_after_2_1.png,data/L15-1509E-1187N_before_2_1.png,85.42968611111111,27.605643055555554,85.51757638888888,27.605643055555554,85.51757638888888,27.52775833333333,85.42968611111111,27.52775833333333,85.47363125,27.566700694444442
data/L15-1509E-1187N_after_2_2.png,data/L15-1509E-1187N_before_2_2.png,85.42968611111111,27.52775833333333,85.51757638888888,27.52775833333333,85.51757638888888,27.44987361111111,85.42968611111111,27.44987361111111,85.47363125,27.48881597222222
data/L15-1509E-1188N_after_0_0.png,data/L15-1509E-1188N_before_0_0.png,85.25390555555556,27.839074999999998,85.34179583333334,27.839074999999998,85.34179583333334,27.76130138888889,85.25390555555556,27.76130138888889,85.29785069444445,27.800188194444445
data/L15-1509E-1188N_after_1_0.png,data/L15-1509E-1188N_before_1_0.png,85.34179583333334,27.839074999999998,85.42968611111111,27.839074999999998,85.42968611111111,27.76130138888889,85.34179583333334,27.76130138888889,85.38574097222222,27.800188194444445
data/L15-1509E-1188N_after_0_2.png,data/L15-1509E-1188N_before_0_2.png,85.25390555555556,27.68352777777778,85.34179583333334,27.68352777777778,85.34179583333334,27.60575416666667,85.25390555555556,27.60575416666667,85.29785069444445,27.644640972222227
data/L15-1509E-1188N_after_0_1.png,data/L15-1509E-1188N_before_0_1.png,85.25390555555556,27.76130138888889,85.34179583333334,27.76130138888889,85.34179583333334,27.68352777777778,85.25390555555556,27.68352777777778,85.29785069444445,27.722414583333332
data/L15-1509E-1188N_after_1_1.png,data/L15-1509E-1188N_before_1_1.png,85.34179583333334,27.76130138888889,85.42968611111111,27.76130138888889,85.42968611111111,27.68352777777778,85.34179583333334,27.68352777777778,85.38574097222222,27.722414583333332
data/L15-1509E-1188N_after_1_2.png,data/L15-1509E-1188N_before_1_2.png,85.34179583333334,27.68352777777778,85.42968611111111,27.68352777777778,85.42968611111111,27.60575416666667,85.34179583333334,27.60575416666667,85.38574097222222,27.644640972222227
data/L15-1509E-1188N_after_2_0.png,data/L15-1509E-1188N_before_2_0.png,85.42968611111111,27.839074999999998,85.51757638888888,27.839074999999998,85.51757638888888,27.76130138888889,85.42968611111111,27.76130138888889,85.47363125,27.800188194444445
data/L15-1509E-1188N_after_2_2.png,data/L15-1509E-1188N_before_2_2.png,85.42968611111111,27.68352777777778,85.51757638888888,27.68352777777778,85.51757638888888,27.60575416666667,85.42968611111111,27.60575416666667,85.47363125,27.644640972222227
data/L15-1509E-1188N_after_2_1.png,data/L15-1509E-1188N_before_2_1.png,85.42968611111111,27.76130138888889,85.51757638888888,27.76130138888889,85.51757638888888,27.68352777777778,85.42968611111111,27.68352777777778,85.47363125,27.722414583333332
